Nome do Repositório,Estrelas,Idade (anos)
freeCodeCamp,399330,9.66
free-programming-books,331770,10.86
awesome,320148,10.11
public-apis,310299,8.42
coding-interview-university,302669,8.21
build-your-own-x,295833,6.28
developer-roadmap,288094,7.43
996.ICU,269623,5.40
system-design-primer,267452,7.48
react,226474,11.24
awesome-python,216236,10.15
vue,207579,11.06
project-based-learning,192885,7.36
awesome-selfhosted,191497,9.22
javascript-algorithms,186318,6.41
tensorflow,184805,8.79
Python,183408,8.10
You-Dont-Know-JS,178635,10.76
linux,176620,12.96
CS-Notes,174328,6.52
ohmyzsh,171827,14.98
bootstrap,169811,13.06
computer-science,167525,10.30
AutoGPT,165918,1.43
flutter,164156,9.46
vscode,161707,8.96
gitignore,160542,13.78
Python-100-Days,153993,6.47
the-art-of-command-line,151807,9.25
JavaGuide,145495,6.29
javascript,144340,11.80
the-book-of-secret-knowledge,141164,6.16
stable-diffusion-webui,138246,2.00
youtube-dl,130865,13.80
transformers,130792,5.81
awesome-go,127327,10.12
fucking-algorithm,124700,4.50
next.js,124174,7.87
go,122094,10.00
30-seconds-of-code,120801,6.72
react-native,117662,9.61
tech-interview-handbook,115483,8.13
electron,113468,11.36
free-programming-books-zh_CN,110875,10.80
kubernetes,109293,10.21
d3,108305,13.90
awesome-chatgpt-prompts,108261,1.71
PowerToys,108195,5.31
scrcpy,107670,6.75
node,106108,9.73
axios,105046,10.01
create-react-app,102407,8.09
three.js,101222,14.41
TypeScript,99739,10.18
nodebestpractices,98885,6.93
GitHub-Chinese-Top-Charts,97463,4.96
rust,96139,14.18
angular,95545,9.92
terminal,94683,7.03
deno,93719,6.27
hello-algo,93384,1.79
material-ui,92999,10.01
ant-design,91616,9.33
Microsoft-Activation-Scripts,91547,4.61
clean-code-javascript,91048,7.73
langchain,90962,1.85
HelloGitHub,89431,8.30
java-design-patterns,89041,10.03
godot,88096,10.63
puppeteer,87995,7.28
vue-element-admin,87381,7.34
free-for-dev,86593,9.43
papers-we-love,86208,10.68
ollama,85941,1.15
thefuck,84220,9.37
storybook,83794,8.42
iptv,83652,5.77
frp,83631,8.67
Web-Dev-For-Beginners,82695,3.78
Awesome-Hacking,81684,8.39
pytorch,81483,8.02
tailwindcss,81332,6.87
every-programmer-should-know,81300,6.99
tauri,81036,5.11
neovim,81001,10.55
animate.css,80450,12.86
yt-dlp,80415,3.82
realworld,80144,8.48
excalidraw,79542,4.64
django,78557,12.31
nvm,78357,14.35
app-ideas,78140,5.48
svelte,77973,7.75
bitcoin,77956,13.67
laravel,77833,13.20
opencv,77543,12.09
gin,77525,10.18
mall,77007,6.38
models,76908,8.54
FiraCode,76491,9.77
advanced-java,75463,5.87
LeetCodeAnimation,75244,5.71
fastapi,74806,5.70
hugo,74356,11.13
spring-boot,74170,11.84
ChatGPT-Next-Web,74139,1.45
awesome-mac,74108,8.09
Font-Awesome,73444,12.51
bun,72695,3.35
json-server,72351,10.73
awesome-vue,71757,8.84
rustdesk,70865,3.89
supabase,70667,4.86
core,70511,10.92
netdata,70137,11.18
mermaid,70098,9.80
awesome-interview-questions,69870,8.73
elasticsearch,68994,14.53
ML-For-Beginners,68767,3.47
gpt4all,68626,1.40
moby,68348,11.59
Front-End-Checklist,68282,6.84
node,67978,1.55
github-readme-stats,67579,4.11
reveal.js,67441,13.20
flask,67341,14.37
code-server,67200,5.48
stable-diffusion,67170,2.03
swift,67169,8.83
funNLP,67132,6.00
awesome-for-beginners,66986,8.82
vite,66759,4.33
ui,66755,1.63
nest,66366,7.54
cs-video-courses,66296,7.83
whisper,66267,1.93
HowToCook,66047,4.47
redis,66028,15.42
v2rayN,65993,5.06
devops-exercises,65496,4.88
protobuf,64964,9.98
playwright,64871,4.76
awesome-machine-learning,64842,10.10
express,64625,15.15
webpack,64437,12.45
Chart.js,64217,11.43
awesome-react,63999,10.04
llama.cpp,63804,1.45
grafana,63372,10.69
gpt_academic,63339,1.42
hoppscotch,63317,5.00
fzf,63239,10.83
syncthing,63184,10.73
interviews,63097,7.51
33-js-concepts,62911,5.96
sway,62840,3.58
strapi,62391,8.89
ansible,62132,12.46
the-algorithm,61938,1.40
system-design-101,61907,0.92
javascript-questions,61868,5.19
cpython,61847,7.52
