Nome do Repositório,Estrelas,Pull Requests Aceitas
freeCodeCamp,399662,22858
free-programming-books,332148,6485
awesome,320806,651
public-apis,310667,1872
coding-interview-university,303016,411
build-your-own-x,296571,139
developer-roadmap,288741,2623
996.ICU,269625,1066
system-design-primer,267902,198
react,226652,10694
awesome-python,216684,543
vue,207602,1135
project-based-learning,193538,182
awesome-selfhosted,192045,2392
javascript-algorithms,186422,299
tensorflow,184867,22460
Python,183547,2798
You-Dont-Know-JS,178688,367
linux,176855,10
CS-Notes,174393,374
ohmyzsh,171946,3189
bootstrap,169857,8779
computer-science,167660,267
AutoGPT,166026,1867
flutter,164215,38656
vscode,161818,26848
gitignore,160646,1546
Python-100-Days,154114,13
the-art-of-command-line,151881,317
JavaGuide,145564,1044
javascript,144384,804
the-book-of-secret-knowledge,141611,122
stable-diffusion-webui,138487,1829
transformers,131108,13178
youtube-dl,130972,1636
awesome-go,127598,3230
fucking-algorithm,124746,233
next.js,124283,17981
go,122200,1
30-seconds-of-code,120855,817
react-native,117726,848
tech-interview-handbook,115847,459
electron,113493,20095
free-programming-books-zh_CN,110912,282
kubernetes,109381,59178
awesome-chatgpt-prompts,108397,117
d3,108332,485
PowerToys,108323,4774
scrcpy,107909,85
node,106183,8622
axios,105059,865
create-react-app,102430,1944
three.js,101291,12853
TypeScript,99821,14307
nodebestpractices,98943,765
GitHub-Chinese-Top-Charts,97662,0
rust,96272,57231
angular,95582,3609
terminal,94731,3874
hello-algo,93808,839
deno,93755,11163
material-ui,93028,18803
Microsoft-Activation-Scripts,92036,5
ant-design,91668,14133
langchain,91204,11346
clean-code-javascript,91065,149
HelloGitHub,89594,17
java-design-patterns,89106,1385
godot,88215,33606
puppeteer,88038,4792
vue-element-admin,87406,311
free-for-dev,86690,2537
ollama,86535,1508
papers-we-love,86334,429
thefuck,84266,482
storybook,83835,10175
iptv,83793,6314
frp,83775,626
Web-Dev-For-Beginners,82754,478
Awesome-Hacking,81864,33
every-programmer-should-know,81800,99
pytorch,81582,5836
tailwindcss,81446,2177
tauri,81181,4282
neovim,81100,13416
yt-dlp,80858,2208
animate.css,80475,315
realworld,80171,429
