Nome do Repositório,Estrelas,Releases
freeCodeCamp,399330,0
free-programming-books,331772,0
awesome,320148,0
public-apis,310299,0
coding-interview-university,302669,0
build-your-own-x,295833,0
developer-roadmap,288095,1
996.ICU,269623,0
system-design-primer,267453,0
react,226474,101
awesome-python,216236,0
vue,207579,249
project-based-learning,192885,0
awesome-selfhosted,191497,1
javascript-algorithms,186318,0
tensorflow,184805,208
Python,183408,0
You-Dont-Know-JS,178635,0
linux,176621,0
CS-Notes,174328,0
ohmyzsh,171828,0
bootstrap,169811,89
computer-science,167525,0
AutoGPT,165918,21
flutter,164156,7
vscode,161707,139
gitignore,160542,0
Python-100-Days,153993,0
the-art-of-command-line,151807,0
JavaGuide,145495,0
javascript,144340,0
the-book-of-secret-knowledge,141166,0
stable-diffusion-webui,138246,26
youtube-dl,130866,341
transformers,130793,163
awesome-go,127328,0
fucking-algorithm,124701,1
next.js,124174,1000
go,122094,0
30-seconds-of-code,120801,10
react-native,117662,336
tech-interview-handbook,115483,0
electron,113468,1000
free-programming-books-zh_CN,110875,3
kubernetes,109293,690
d3,108305,194
awesome-chatgpt-prompts,108262,0
PowerToys,108195,101
scrcpy,107671,39
node,106108,402
axios,105046,81
create-react-app,102407,83
three.js,101222,159
TypeScript,99739,198
nodebestpractices,98885,0
GitHub-Chinese-Top-Charts,97463,0
rust,96139,128
angular,95545,352
terminal,94683,117
deno,93719,288
hello-algo,93385,8
material-ui,92999,487
ant-design,91616,664
Microsoft-Activation-Scripts,91547,15
clean-code-javascript,91048,0
langchain,90961,535
HelloGitHub,89431,45
java-design-patterns,89041,0
godot,88096,57
puppeteer,87995,426
vue-element-admin,87381,49
free-for-dev,86595,0
papers-we-love,86208,0
ollama,85943,87
thefuck,84220,17
storybook,83794,1000
iptv,83652,0
frp,83631,99
Web-Dev-For-Beginners,82695,0
Awesome-Hacking,81684,0
pytorch,81483,54
tailwindcss,81332,228
every-programmer-should-know,81300,0
tauri,81036,1000
neovim,81001,38
animate.css,80450,22
yt-dlp,80416,91
realworld,80144,0
excalidraw,79543,13
django,78557,0
nvm,78357,67
app-ideas,78140,0
svelte,77974,253
bitcoin,77956,51
laravel,77833,170
opencv,77544,63
gin,77525,26
mall,77008,3
models,76908,46
FiraCode,76491,29
advanced-java,75463,1
LeetCodeAnimation,75244,0
fastapi,74806,184
hugo,74356,284
spring-boot,74170,280
ChatGPT-Next-Web,74139,66
awesome-mac,74108,8
Font-Awesome,73444,56
bun,72696,154
json-server,72351,37
awesome-vue,71757,0
rustdesk,70865,20
supabase,70667,15
core,70511,1000
netdata,70138,89
mermaid,70098,121
awesome-interview-questions,69870,0
elasticsearch,68994,153
ML-For-Beginners,68767,0
gpt4all,68626,23
moby,68349,188
Front-End-Checklist,68282,1
node,67978,34
github-readme-stats,67579,0
reveal.js,67441,47
flask,67341,34
code-server,67200,161
stable-diffusion,67170,0
swift,67170,53
funNLP,67132,0
awesome-for-beginners,66986,0
vite,66759,461
ui,66756,16
nest,66366,97
cs-video-courses,66296,0
whisper,66268,10
HowToCook,66047,3
redis,66028,69
v2rayN,65993,185
devops-exercises,65498,0
protobuf,64964,163
playwright,64871,131
awesome-machine-learning,64842,0
express,64625,153
webpack,64437,414
Chart.js,64218,110
awesome-react,63999,0
llama.cpp,63805,1000
grafana,63372,442
gpt_academic,63339,30
hoppscotch,63317,46
fzf,63239,49
syncthing,63186,378
interviews,63097,0
33-js-concepts,62911,0
sway,62840,145
strapi,62392,384
ansible,62132,99
the-algorithm,61938,0
system-design-101,61908,0
javascript-questions,61868,0
cpython,61847,0
resume.github.com,61782,0
keras,61476,70
manim,61454,10
superset,61278,204
Ventoy,61205,97
socket.io,60767,63
redux,60738,78
d2l-zh,60605,16
generative-ai-for-beginners,60539,0
Best-websites-a-programmer-should-visit,60529,0
tesseract,60431,32
nocode,60263,1
atom,60103,538
echarts,59968,116
awesome-public-datasets,59761,1
gpt4free,59720,144
markdown-here,59607,11
architect-awesome,59604,0
lodash,59508,2
Front-end-Developer-Interview-Questions,59415,0
PayloadsAllTheThings,59277,3
scikit-learn,59211,42
jquery,59094,10
imgui,58921,100
angular.js,58873,0
obs-studio,58322,208
fuel-core,58220,94
shadowsocks-windows,58218,55
openai-cookbook,58180,0
awesome-cpp,58124,0
Java,58065,0
design-resources-for-developers,57881,0
tabby,57830,187
awesome-scalability,57710,0
awesome-nodejs,57541,0
Apollo-11,57373,0
SecLists,56401,25
caddy,56378,119
html5-boilerplate,56344,34
awesome-courses,56101,0
spring-framework,55985,310
screenshot-to-code,55669,0
rails,55490,124
alacritty,55261,93
gatsby,55192,134
llama,55160,0
docusaurus,54951,144
cs-self-learning,54832,4
uptime-kuma,54647,104
prometheus,54386,309
leetcode,54316,40
element,54076,145
DeepLearning-500-questions,54060,0
new-pac,53882,0
nuxt,53751,223
sherlock,53480,1
localstack,53424,77
nerd-fonts,53358,36
act,53354,73
private-gpt,53348,10
annotated_deep_learning_paper_implementations,53048,0
awesome-flutter,52678,0
react-router,52668,277
face_recognition,52653,2
normalize.css,52267,0
rustlings,52147,43
scrapy,52115,38
ChatGPT,51992,34
awesome-chatgpt-prompts-zh,51902,0
requests,51897,12
Real-Time-Voice-Cloning,51891,0
gpt-engineer,51675,20
open-interpreter,51587,40
git,51521,0
AppFlowy,51346,81
Semantic-UI,51091,154
ionic-framework,50818,878
material-design-icons,50318,16
faceswap,50140,4
awesome-android-ui,50064,0
ghidra,50064,38
tldr,50060,5
leetcode-master,49946,0
guava,49902,46
you-get,49803,122
traefik,49720,428
lazygit,49618,152
anime,49442,15
grok-1,49351,0
yolov5,49264,10
drawio-desktop,49218,141
bulma,49069,20
openpilot,49036,55
prettier,48936,117
