Nome do Repositório,Estrelas,Tempo Desde a Ultima Atualizacao
freeCodeCamp,399662,0.83
free-programming-books,332148,0.18
awesome,320809,0.07
public-apis,310667,0.32
coding-interview-university,303016,0.38
build-your-own-x,296571,0.17
developer-roadmap,288741,0.31
996.ICU,269625,0.78
system-design-primer,267903,0.12
react,226652,0.20
awesome-python,216685,0.13
vue,207602,2.32
project-based-learning,193539,0.05
awesome-selfhosted,192046,0.08
javascript-algorithms,186422,0.17
tensorflow,184867,0.19
Python,183547,0.46
You-Dont-Know-JS,178688,1.20
linux,176855,0.27
CS-Notes,174393,2.30
ohmyzsh,171946,0.40
bootstrap,169857,0.15
computer-science,167660,0.33
AutoGPT,166026,0.50
flutter,164215,0.56
vscode,161819,0.13
gitignore,160646,1.14
Python-100-Days,154114,1.66
the-art-of-command-line,151880,0.06
JavaGuide,145564,2.73
javascript,144384,0.80
the-book-of-secret-knowledge,141614,0.05
stable-diffusion-webui,138487,0.25
transformers,131108,0.86
youtube-dl,130972,0.64
awesome-go,127599,0.13
fucking-algorithm,124746,4.04
next.js,124283,2.18
go,122200,0.57
30-seconds-of-code,120855,2.14
react-native,117726,0.57
tech-interview-handbook,115847,0.32
electron,113493,1.34
free-programming-books-zh_CN,110912,1.96
kubernetes,109380,0.13
awesome-chatgpt-prompts,108396,0.09
d3,108332,2.64
PowerToys,108324,0.06
scrcpy,107911,0.13
node,106183,0.48
axios,105059,0.86
create-react-app,102430,3.28
three.js,101291,1.17
TypeScript,99821,0.25
nodebestpractices,98943,0.21
GitHub-Chinese-Top-Charts,97662,0.70
rust,96272,0.16
angular,95582,0.36
terminal,94731,1.21
hello-algo,93808,0.54
deno,93755,0.83
material-ui,93029,0.08
Microsoft-Activation-Scripts,92037,0.06
ant-design,91668,0.74
langchain,91204,0.19
clean-code-javascript,91065,0.86
HelloGitHub,89594,0.70
java-design-patterns,89106,2.83
godot,88218,0.04
puppeteer,88038,0.16
vue-element-admin,87406,8.08
free-for-dev,86690,3.99
ollama,86535,0.17
papers-we-love,86334,0.74
thefuck,84266,0.21
storybook,83835,1.98
iptv,83793,0.28
frp,83775,0.71
Web-Dev-For-Beginners,82753,0.05
Awesome-Hacking,81864,0.27
