Nome do Repositório,Estrelas,Linguagem Principal
freeCodeCamp,399662,TypeScript
free-programming-books,332148,Não especificada
awesome,320806,Não especificada
public-apis,310667,Python
coding-interview-university,303016,Não especificada
build-your-own-x,296570,Não especificada
developer-roadmap,288741,TypeScript
996.ICU,269625,Não especificada
system-design-primer,267902,Python
react,226652,JavaScript
awesome-python,216684,Python
vue,207602,TypeScript
project-based-learning,193538,Não especificada
awesome-selfhosted,192045,Não especificada
javascript-algorithms,186422,JavaScript
tensorflow,184867,C++
Python,183547,Python
You-Dont-Know-JS,178688,Não especificada
linux,176855,C
CS-Notes,174393,Não especificada
ohmyzsh,171946,Shell
bootstrap,169856,JavaScript
computer-science,167660,Não especificada
AutoGPT,166026,Python
flutter,164215,Dart
vscode,161818,TypeScript
gitignore,160646,Não especificada
Python-100-Days,154114,Python
the-art-of-command-line,151881,Não especificada
JavaGuide,145564,Java
javascript,144384,JavaScript
the-book-of-secret-knowledge,141611,Não especificada
stable-diffusion-webui,138487,Python
transformers,131108,Python
youtube-dl,130972,Python
awesome-go,127598,Go
fucking-algorithm,124746,Markdown
next.js,124283,JavaScript
go,122200,Go
30-seconds-of-code,120855,JavaScript
react-native,117726,C++
tech-interview-handbook,115847,TypeScript
electron,113493,C++
free-programming-books-zh_CN,110912,Não especificada
kubernetes,109381,Go
awesome-chatgpt-prompts,108397,HTML
d3,108332,Shell
PowerToys,108323,C#
scrcpy,107909,C
node,106183,JavaScript
axios,105059,JavaScript
create-react-app,102430,JavaScript
three.js,101291,JavaScript
TypeScript,99821,TypeScript
nodebestpractices,98943,Dockerfile
GitHub-Chinese-Top-Charts,97662,Java
rust,96271,Rust
angular,95582,TypeScript
terminal,94731,C++
hello-algo,93808,Java
deno,93755,Rust
material-ui,93028,TypeScript
Microsoft-Activation-Scripts,92036,Batchfile
ant-design,91668,TypeScript
langchain,91204,Jupyter Notebook
clean-code-javascript,91065,JavaScript
HelloGitHub,89594,Python
java-design-patterns,89106,Java
godot,88215,C++
puppeteer,88037,TypeScript
vue-element-admin,87406,Vue
free-for-dev,86690,HTML
ollama,86535,Go
papers-we-love,86334,Shell
thefuck,84266,Python
storybook,83835,TypeScript
iptv,83793,JavaScript
frp,83775,Go
Web-Dev-For-Beginners,82754,JavaScript
