Nome do Repositório,Estrelas,Razão Fechamento Issues:
freeCodeCamp,399334,98.99%
free-programming-books,331773,97.61%
awesome,320151,96.18%
public-apis,310300,98.00%
coding-interview-university,302670,89.95%
build-your-own-x,295835,72.66%
developer-roadmap,288096,98.47%
996.ICU,269623,0.00%
system-design-primer,267453,28.57%
react,226474,94.90%
awesome-python,216240,0.00%
vue,207579,96.46%
project-based-learning,192888,43.12%
awesome-selfhosted,191500,100.00%
javascript-algorithms,186317,63.53%
tensorflow,184807,95.52%
Python,183409,98.15%
You-Dont-Know-JS,178636,91.46%
linux,176622,0.00%
CS-Notes,174328,77.16%
ohmyzsh,171828,97.54%
bootstrap,169811,98.01%
computer-science,167525,97.48%
AutoGPT,165918,93.97%
flutter,164157,87.18%
vscode,161708,95.02%
gitignore,160542,0.00%
Python-100-Days,153994,17.21%
the-art-of-command-line,151807,52.59%
JavaGuide,145495,93.80%
javascript,144340,93.05%
the-book-of-secret-knowledge,141169,0.00%
stable-diffusion-webui,138247,70.84%
youtube-dl,130867,86.06%
transformers,130795,93.69%
awesome-go,127331,99.54%
fucking-algorithm,124701,55.01%
next.js,124174,86.32%
go,122095,85.56%
30-seconds-of-code,120801,100.00%
react-native,117665,97.74%
tech-interview-handbook,115483,66.67%
electron,113469,95.76%
free-programming-books-zh_CN,110875,0.00%
kubernetes,109296,95.93%
d3,108307,99.73%
awesome-chatgpt-prompts,108262,0.00%
PowerToys,108195,79.55%
scrcpy,107673,58.92%
node,106108,91.23%
axios,105046,86.49%
create-react-app,102407,78.86%
three.js,101223,96.86%
TypeScript,99739,87.19%
nodebestpractices,98885,88.16%
GitHub-Chinese-Top-Charts,97467,46.87%
rust,96139,82.33%
angular,95545,95.01%
terminal,94684,88.11%
deno,93719,82.09%
hello-algo,93390,95.61%
material-ui,93000,91.18%
ant-design,91616,96.20%
Microsoft-Activation-Scripts,91552,99.21%
clean-code-javascript,91048,46.41%
langchain,90964,91.55%
HelloGitHub,89433,94.90%
java-design-patterns,89041,85.49%
godot,88097,79.76%
puppeteer,87995,96.21%
vue-element-admin,87381,65.58%
free-for-dev,86595,0.00%
papers-we-love,86208,91.95%
ollama,85951,74.54%
thefuck,84220,64.92%
storybook,83794,85.45%
iptv,83653,99.66%
frp,83631,98.53%
Web-Dev-For-Beginners,82695,81.60%
Awesome-Hacking,81685,0.00%
pytorch,81485,69.08%
tailwindcss,81332,99.01%
every-programmer-should-know,81302,41.18%
tauri,81036,79.28%
neovim,81001,87.45%
animate.css,80450,97.34%
yt-dlp,80417,81.77%
realworld,80144,92.84%
excalidraw,79545,57.62%
django,78558,0.00%
nvm,78358,86.61%
app-ideas,78144,29.66%
svelte,77975,88.45%
bitcoin,77956,95.57%
laravel,77833,0.00%
opencv,77544,76.90%
gin,77526,73.02%
mall,77008,95.53%
models,76908,85.34%
FiraCode,76491,70.54%
advanced-java,75463,96.58%
LeetCodeAnimation,75244,71.19%
fastapi,74808,98.86%
hugo,74357,93.96%
spring-boot,74173,98.49%
ChatGPT-Next-Web,74143,87.24%
awesome-mac,74109,73.22%
Font-Awesome,73444,79.24%
bun,72697,58.79%
json-server,72351,47.03%
awesome-vue,71757,84.68%
rustdesk,70866,98.55%
supabase,70668,93.85%
core,70511,95.70%
netdata,70138,97.86%
mermaid,70099,67.61%
awesome-interview-questions,69871,56.45%
elasticsearch,68995,89.41%
ML-For-Beginners,68768,98.47%
gpt4all,68626,70.82%
moby,68349,86.48%
Front-End-Checklist,68283,99.32%
node,67980,90.12%
github-readme-stats,67579,89.52%
reveal.js,67442,69.56%
flask,67341,99.81%
code-server,67202,97.14%
stable-diffusion,67170,26.73%
swift,67170,56.96%
funNLP,67132,47.96%
awesome-for-beginners,66987,77.50%
vite,66759,93.44%
ui,66759,86.16%
nest,66366,98.97%
cs-video-courses,66296,98.54%
whisper,66272,0.00%
HowToCook,66048,44.55%
redis,66028,69.00%
v2rayN,65996,99.54%
devops-exercises,65498,66.67%
protobuf,64964,95.93%
playwright,64871,95.67%
awesome-machine-learning,64843,98.86%
express,64625,96.93%
webpack,64437,98.51%
Chart.js,64218,94.55%
awesome-react,63999,97.17%
llama.cpp,63806,91.36%
grafana,63373,89.40%
gpt_academic,63341,79.94%
hoppscotch,63317,76.32%
fzf,63239,91.00%
syncthing,63187,93.53%
interviews,63098,43.40%
33-js-concepts,62911,91.76%
sway,62840,73.82%
strapi,62393,92.69%
ansible,62132,98.36%
the-algorithm,61938,60.71%
system-design-101,61908,32.61%
javascript-questions,61869,96.25%
cpython,61847,89.60%
resume.github.com,61782,53.78%
keras,61476,98.22%
manim,61454,63.81%
superset,61278,94.19%
Ventoy,61207,69.33%
socket.io,60768,94.90%
redux,60738,98.24%
d2l-zh,60607,0.00%
generative-ai-for-beginners,60552,90.65%
Best-websites-a-programmer-should-visit,60530,63.16%
tesseract,60431,84.83%
nocode,60263,14.32%
atom,60103,94.37%
echarts,59968,88.56%
awesome-public-datasets,59761,41.59%
gpt4free,59721,98.92%
markdown-here,59607,50.41%
architect-awesome,59604,30.99%
lodash,59509,98.57%
Front-end-Developer-Interview-Questions,59415,80.68%
PayloadsAllTheThings,59277,0.00%
scikit-learn,59211,85.81%
jquery,59094,96.81%
imgui,58922,84.35%
angular.js,58873,95.67%
obs-studio,58322,86.88%
fuel-core,58220,79.65%
shadowsocks-windows,58219,94.22%
openai-cookbook,58181,93.84%
awesome-cpp,58124,40.24%
Java,58065,99.70%
design-resources-for-developers,57881,100.00%
tabby,57830,61.92%
awesome-scalability,57711,0.00%
awesome-nodejs,57541,98.04%
Apollo-11,57373,83.99%
SecLists,56401,92.72%
caddy,56379,97.37%
html5-boilerplate,56344,99.55%
awesome-courses,56102,50.65%
spring-framework,55987,99.02%
screenshot-to-code,55671,83.16%
rails,55488,97.00%
alacritty,55262,94.39%
gatsby,55192,98.70%
llama,55161,65.51%
docusaurus,54952,91.37%
cs-self-learning,54832,49.44%
uptime-kuma,54650,82.62%
prometheus,54388,88.22%
leetcode,54316,97.24%
element,54076,85.88%
DeepLearning-500-questions,54061,43.09%
new-pac,53883,75.86%
nuxt,53751,94.80%
sherlock,53481,91.14%
localstack,53424,94.65%
nerd-fonts,53358,97.74%
act,53355,83.82%
private-gpt,53348,82.10%
annotated_deep_learning_paper_implementations,53048,79.39%
awesome-flutter,52679,0.00%
react-router,52668,98.95%
face_recognition,52653,43.94%
normalize.css,52267,90.93%
rustlings,52149,97.05%
scrapy,52116,85.04%
ChatGPT,51992,32.82%
awesome-chatgpt-prompts-zh,51903,73.43%
requests,51897,95.55%
Real-Time-Voice-Cloning,51891,82.36%
gpt-engineer,51676,98.52%
open-interpreter,51587,80.99%
git,51520,0.00%
AppFlowy,51348,68.60%
Semantic-UI,51091,84.53%
ionic-framework,50819,98.12%
material-design-icons,50318,77.90%
faceswap,50140,97.78%
ghidra,50065,71.44%
awesome-android-ui,50064,87.62%
tldr,50060,87.52%
leetcode-master,49947,26.64%
guava,49902,82.15%
you-get,49803,0.00%
traefik,49721,89.58%
lazygit,49619,65.27%
anime,49442,70.95%
grok-1,49351,66.83%
yolov5,49265,99.11%
drawio-desktop,49220,92.58%
bulma,49069,89.38%
openpilot,49036,95.36%
prettier,48936,83.00%
jekyll,48813,97.76%
kotlin,48650,0.00%
rich,48646,86.10%
bat,48382,79.84%
pi-hole,48210,98.91%
DefinitelyTyped,48043,93.17%
mkcert,48024,71.34%
project-layout,47961,40.74%
moment,47930,94.68%
RxJava,47815,99.68%
chinese-poetry,47694,45.32%
pdf.js,47673,96.09%
ComfyUI,47588,43.06%
hacker-scripts,47439,59.04%
go-ethereum,47302,97.07%
Prompt-Engineering-Guide,47158,39.26%
github-cheat-sheet,47157,68.12%
etcd,47121,96.01%
ripgrep,47106,93.60%
awesome-ios,46745,99.79%
DeepFaceLab,46661,59.70%
Ghost,46624,99.64%
cypress,46577,90.24%
mastodon,46567,65.78%
Magisk,46536,99.65%
algorithm-visualizer,46516,66.07%
dayjs,46498,50.43%
serverless,46336,82.09%
segment-anything,46292,25.38%
core,46283,87.56%
minio,46159,99.73%
professional-programming,46118,85.71%
big-list-of-naughty-strings,46100,32.32%
marktext,46065,58.56%
trackerslist,46059,98.17%
meilisearch,45995,91.79%
rclone,45704,82.79%
okhttp,45629,96.64%
zustand,45587,99.55%
learn-regex,45467,40.70%
uBlock,45449,99.65%
awesome-rust,45355,91.79%
julia,45301,83.88%
awesome-wechat-weapp,45253,0.00%
v2ray-core,45178,99.49%
powerlevel10k,45135,97.82%
dive,45058,50.00%
astro,45039,97.46%
Projects,44829,45.83%
react,44801,98.53%
joplin,44765,93.84%
gogs,44705,82.48%
Motrix,44668,44.62%
FFmpeg,44469,0.00%
nocodb,44418,83.20%
PowerShell,44403,93.04%
100-Days-Of-ML-Code,44342,0.00%
design-patterns-for-humans,44338,92.16%
fuels-rs,44313,86.50%
fuels-ts,44307,88.93%
zed,44279,63.80%
weekly,44251,17.04%
architecture-samples,44230,71.46%
meteor,44228,97.35%
first-contributions,44150,93.38%
x64dbg,44141,75.88%
hiring-without-whiteboards,44048,0.00%
jest,43990,96.38%
hackingtool,43976,87.87%
starship,43854,73.82%
n8n,43834,88.66%
AdminLTE,43834,95.80%
gitea,43764,81.55%
parcel,43344,88.94%
TensorFlow-Examples,43340,29.61%
pixijs,43330,94.25%
appwrite,43178,83.66%
build-web-application-with-golang,43165,60.26%
babel,43130,92.79%
hyper,43115,76.11%
MetaGPT,43092,51.79%
pandas,43032,86.51%
retrofit,42917,95.50%
quill,42808,90.78%
zx,42700,97.54%
huginn,42603,72.42%
immich,42582,87.39%
PythonDataScienceHandbook,42544,39.58%
dify,42417,92.06%
ImHex,42409,75.55%
CppCoreGuidelines,42312,79.25%
30-Days-Of-JavaScript,42296,38.06%
type-challenges,42061,10.69%
terraform,41981,91.45%
frontend-dev-bookmarks,41969,78.10%
json,41941,96.10%
PaddleOCR,41918,98.76%
open-source-ios-apps,41797,100.00%
awesome-react-components,41718,89.80%
git-flight-rules,41699,75.34%
discourse,41522,0.00%
grpc,41448,94.61%
yarn,41397,71.72%
query,41370,97.47%
react-use,41351,42.48%
pm2,41224,81.68%
alist,41219,95.73%
front-end-interview-handbook,41173,87.88%
awesome-java,41098,99.23%
Alamofire,40903,98.58%
vue2-elm,40902,81.79%
react-hook-form,40845,99.62%
open-source-mac-os-apps,40814,77.00%
Leaflet,40808,92.18%
localsend,40743,54.59%
jadx,40583,76.90%
brew,40553,99.01%
edex-ui,40449,98.93%
30-Days-Of-Python,40376,53.28%
styled-components,40344,91.08%
drawio,40311,92.69%
dubbo,40307,89.12%
ChatGLM-6B,40272,57.74%
nw.js,40266,87.39%
kubernetes-the-hard-way,40228,73.15%
Docker-OSX,40126,43.37%
python-patterns,40072,87.36%
uni-app,39816,77.64%
Rocket.Chat,39805,84.23%
JeecgBoot,39779,99.25%
what-happens-when,39726,17.77%
vuetify,39560,95.20%
monaco-editor,39556,85.64%
Fooocus,39484,89.34%
swiper,39402,97.76%
spark,39162,0.00%
awesome-cheatsheets,39104,64.71%
text-generation-webui,39076,94.22%
hexo,39061,98.09%
fastlane,38967,95.97%
ailearning,38951,98.20%
lx-music-desktop,38930,62.37%
dbeaver,38929,86.08%
materialize,38866,88.07%
kong,38652,99.27%
reactjs-interview-questions,38643,95.19%
awesome-design-patterns,38584,30.77%
prisma,38576,71.12%
CPlusPlusThings,38549,97.29%
ColossalAI,38502,76.23%
Stirling-PDF,38475,75.98%
sentry,38337,80.26%
pyenv,38331,97.10%
black,38229,86.36%
acme.sh,38203,67.68%
pocketbase,38121,97.09%
stablediffusion,38104,23.83%
cheat.sh,38002,51.82%
AFFiNE,37987,92.70%
fanqiang,37908,58.89%
Deep-Learning-Papers-Reading-Roadmap,37859,9.43%
esbuild,37837,87.55%
metabase,37790,80.73%
php-src,37770,78.70%
video.js,37713,90.63%
bert,37688,30.82%
tabler,37631,91.39%
impress.js,37602,88.73%
MPAndroidChart,37494,58.43%
iina,37492,58.12%
wrk,37412,65.17%
chakra-ui,37328,92.35%
cobra,37317,83.13%
lobe-chat,37223,80.29%
styleguide,37133,50.61%
Made-With-ML,36960,78.87%
odoo,36932,84.44%
freecodecamp.cn,36929,76.07%
Open-Assistant,36918,86.41%
phaser,36845,98.63%
chinese-independent-developer,36837,99.27%
zju-icicles,36814,84.21%
tidb,36780,81.42%
htmx,36680,60.95%
free,36668,28.09%
diagrams,36586,38.62%
nvm-windows,36580,91.64%
English-level-up-tips,36510,72.45%
interview_internal_reference,36483,40.00%
preact,36476,93.09%
cli,36432,85.22%
tutorials,36423,96.82%
gorm,36375,92.91%
pure-bash-bible,36368,42.86%
ClickHouse,36299,83.86%
ant-design-pro,36245,98.62%
open-webui,36243,93.08%
manifesto,36233,44.00%
50projects50days,36215,0.00%
FastChat,36205,57.31%
vaultwarden,36045,99.20%
python-cheatsheet,36028,92.31%
llm-course,36007,40.00%
leveldb,35977,70.82%
shellcheck,35919,62.14%
airflow,35917,91.13%
vim,35907,82.68%
lazydocker,35870,57.28%
JavaFamily,35856,96.77%
nanoGPT,35773,32.90%
mitmproxy,35639,90.61%
DragGAN,35634,24.47%
v,35628,89.42%
