Linguagem,Média PR,Mediana PR,Moda PR,Média Releases,Mediana Releases,Moda Releases,Média Atualização (horas),Mediana Atualização (horas),Moda Atualização (horas)
TypeScript,4503.575757575758,2139.0,429/2,229.79545454545453,133.0,0/8,2.3236689826936026,1.0964329243055555,0.0032390358333333332/1
Não especificada,1098.4272727272728,134.5,0/6,1.009090909090909,0.0,0/98,1.920421810502525,0.9076822298611111,0.046292368333333334/1
Python,3171.7926829268295,479.5,14/4,62.8719512195122,16.0,0/49,2.2257054292581295,1.0885147295833333,0.034349868888888885/1
JavaScript,1587.5987261146497,527.0,20/3,102.85350318471338,37.0,0/41,3.1665196421549897,1.2174048686111112,0.026571535277777777/1
C++,6275.980392156863,853.0,9/1,128.84313725490196,56.0,0/9,2.0249642804030503,1.4843487575,0.019904868611111112/1
C,1165.5833333333333,158.0,1/2,38.458333333333336,15.0,0/10,2.492867252858796,1.430181535138889,0.11462486805555555/1
Shell,711.695652173913,303.0,44/2,41.65217391304348,1.0,0/11,2.78996469955314,1.1960165355555556,0.04268181305555556/1
Dart,8554.0,488.0,214/1,28.4,21.0,0/1,0.3337925906111111,0.34018181305555556,0.042960424166666664/1
Java,2328.4310344827586,432.0,1/3,54.241379310344826,32.0,0/18,3.7152300410775863,1.520042785138889,0.03073764638888889/1
Go,4985.893333333333,940.0,1/1,130.74666666666667,86.0,0/6,2.5997229057037035,1.242404868611111,0.009627646666666666/1
Markdown,3147.0,711.5,238/1,10.75,7.5,1/1,1.1277511184722222,0.6815713965277778,0.2957368127777778/1
HTML,591.1666666666666,229.5,12/1,15.166666666666666,0.0,0/11,3.1158918902469135,1.4818480629166668,0.17907070194444447/1
C#,3358.785714285714,1853.5,10/1,83.57142857142857,78.0,0/1,4.5446266543849205,3.158931951805555,0.24712681333333333/1
Dockerfile,423.0,503.0,1/1,1.3333333333333333,1.0,0/1,2.3640698683333334,2.036291812777778,0.577959035/1
Rust,5028.583333333333,2277.5,90/1,141.97222222222223,71.0,0/4,1.3444952930324074,0.7057377854166667,0.007682924444444445/1
Batchfile,344.0,344.0,5/1,7.5,7.5,0/1,0.7357373686111112,0.7357373686111112,0.10879181277777779/1
Jupyter Notebook,772.7142857142857,88.0,28/2,31.523809523809526,0.0,0/18,1.53702097984127,0.6010157022222222,0.15407236916666667/1
Vue,728.3333333333334,294.5,21/1,64.33333333333333,46.0,0/1,3.3462005631018514,1.483931535277778,0.8482382019444444/1
Vim Script,3541.5,306.5,107/1,11.5,4.0,0/2,2.4301818130555555,1.5289320908333333,0.2676807016666667/1
CSS,299.375,185.5,6/1,10.25,2.0,0/4,5.804765007395833,2.13643139625,0.5118479238888889/1
PHP,7604.777777777777,1578.0,119/1,271.3333333333333,201.0,0/1,1.4400588192901234,1.3304601466666668,0.04657153527777778/1
Clojure,7527.25,2949.5,132/1,191.5,93.5,29/1,0.4586540353472222,0.2864320909722222,0.20323792444444444/1
Zig,5769.0,5769.0,3660/1,87.0,87.0,18/1,0.9324037574999999,0.9324037574999999,0.9199029238888888/1
Scala,4.5,4.5,2/1,0.0,0.0,0/2,3.9999036184722225,3.9999036184722225,1.6690707019444444/1
Nunjucks,484.0,484.0,484/1,0.0,0.0,0/1,11.548792368333332,11.548792368333332,11.548792368333332/1
MDX,1080.1666666666667,890.5,301/1,186.66666666666666,17.5,0/3,1.8152283408796295,0.7128205629166666,0.4690720911111111/1
Assembly,182.0,182.0,37/1,0.0,0.0,0/2,0.36101514638888893,0.36101514638888893,0.04907014611111111/1
Ruby,7328.214285714285,2915.5,197/1,110.71428571428571,8.5,0/6,1.1185948290079366,0.8910148684722223,0.06379348/1
Kotlin,785.5454545454545,248.0,3/1,91.0,43.0,0/3,1.7374802475000002,0.9585157022222223,0.051294313333333334/1
Makefile,68.0,68.0,51/1,0.0,0.0,0/2,1.1489319518055554,1.1489319518055554,0.9054604241666666/1
Swift,649.6153846153846,608.0,237/2,107.23076923076923,68.0,0/2,3.1359947406623934,0.8051834802777779,0.17907153527777778/1
Julia,23963.0,23963.0,23963/1,163.0,163.0,163/1,1.6215704241666669,1.6215704241666669,1.6215704241666669/1
Astro,1509.0,1509.0,1509/1,73.0,73.0,73/1,0.1565704241666667,0.1565704241666667,0.1565704241666667/1
Lua,3008.0,3008.0,68/1,72.0,72.0,3/1,1.092543479861111,1.092543479861111,0.12157070194444444/1
Roff,878.0,878.0,878/1,103.0,103.0,103/1,0.16045959083333333,0.16045959083333333,0.16045959083333333/1
Svelte,713.0,713.0,284/1,44.0,44.0,41/1,0.5625433409722222,0.5625433409722222,0.3626820908333333/1
Haskell,928.5,928.5,285/1,83.0,83.0,29/1,4.985320979722222,4.985320979722222,0.7174043130555555/1
V,10745.0,10745.0,10745/1,221.0,221.0,221/1,1.0254598686111112,1.0254598686111112,1.0254598686111112/1
TeX,25.666666666666668,22.0,16/1,2.3333333333333335,0.0,0/2,4.4726826464814815,0.9007387577777778,0.28601542416666664/1
Objective-C,822.0,822.0,710/1,95.0,95.0,40/1,9.168516118888888,9.168516118888888,6.887127646666666/1
SCSS,23.0,23.0,23/1,10.0,10.0,10/1,1.674071535277778,1.674071535277778,1.674071535277778/1
Jinja,530.0,530.0,530/1,2.0,2.0,2/1,0.6293493130555555,0.6293493130555555,0.6293493130555555/1
LLVM,24176.0,24176.0,24176/1,112.0,112.0,112/1,0.06240514666666666,0.06240514666666666,0.06240514666666666/1
Less,199.0,199.0,199/1,48.0,48.0,48/1,1.6204607022222222,1.6204607022222222,1.6204607022222222/1
