Nome do Repositório,Estrelas,Idioma
freeCodeCamp,399662,English
free-programming-books,332146,English
awesome,320805,README.md ausente
public-apis,310667,English
coding-interview-university,303016,English
build-your-own-x,296569,English
developer-roadmap,288741,README.md ausente
996.ICU,269625,English
system-design-primer,267900,English
react,226651,English
awesome-python,216684,English
vue,207602,English
project-based-learning,193538,English
awesome-selfhosted,192045,English
javascript-algorithms,186421,English
tensorflow,184866,English
Python,183547,English
You-Dont-Know-JS,178688,English
linux,176855,README.md ausente
CS-Notes,174393,English
ohmyzsh,171946,English
bootstrap,169856,English
computer-science,167660,English
AutoGPT,166026,English
flutter,164215,English
vscode,161817,English
gitignore,160646,English
Python-100-Days,154114,Vietnamese
the-art-of-command-line,151881,English
JavaGuide,145564,Catalan
javascript,144384,English
the-book-of-secret-knowledge,141611,English
stable-diffusion-webui,138486,English
transformers,131108,English
youtube-dl,130972,English
awesome-go,127598,English
fucking-algorithm,124746,Vietnamese
next.js,124283,README.md ausente
go,122200,English
30-seconds-of-code,120855,English
react-native,117726,English
tech-interview-handbook,115847,English
electron,113493,English
free-programming-books-zh_CN,110912,English
kubernetes,109381,English
awesome-chatgpt-prompts,108397,English
d3,108332,English
PowerToys,108323,English
scrcpy,107909,English
node,106183,English
axios,105059,English
create-react-app,102430,English
three.js,101291,English
TypeScript,99820,English
nodebestpractices,98942,English
GitHub-Chinese-Top-Charts,97662,English
rust,96271,English
angular,95582,English
terminal,94731,English
hello-algo,93808,English
deno,93755,English
material-ui,93028,English
Microsoft-Activation-Scripts,92034,English
ant-design,91668,English
langchain,91203,English
clean-code-javascript,91065,English
HelloGitHub,89594,English
java-design-patterns,89106,English
godot,88215,English
puppeteer,88037,English
vue-element-admin,87406,English
free-for-dev,86690,English
ollama,86534,English
papers-we-love,86334,English
thefuck,84265,English
storybook,83835,English
iptv,83793,English
frp,83775,English
Web-Dev-For-Beginners,82754,English
Awesome-Hacking,81864,English
every-programmer-should-know,81801,English
pytorch,81582,English
tailwindcss,81446,English
tauri,81181,English
neovim,81100,English
yt-dlp,80858,English
animate.css,80475,English
realworld,80171,English
excalidraw,79804,English
django,78597,README.md ausente
nvm,78431,English
app-ideas,78372,English
svelte,78045,English
laravel,77885,English
bitcoin,77700,English
opencv,77621,English
gin,77598,English
mall,77038,English
models,76917,English
FiraCode,76520,English
advanced-java,75528,English
LeetCodeAnimation,75255,README.md ausente
fastapi,74937,English
hugo,74425,English
ChatGPT-Next-Web,74271,English
awesome-mac,74228,English
spring-boot,74223,README.md ausente
Font-Awesome,73466,English
bun,72785,English
json-server,72396,English
awesome-vue,71778,English
rustdesk,71118,English
supabase,70809,English
core,70587,README.md ausente
netdata,70214,English
mermaid,70196,English
awesome-interview-questions,69974,English
elasticsearch,69037,README.md ausente
ML-For-Beginners,68844,English
gpt4all,68727,English
moby,68365,English
Front-End-Checklist,68309,English
node,68048,English
github-readme-stats,67681,README.md ausente
reveal.js,67470,English
flask,67362,English
code-server,67255,README.md ausente
stable-diffusion,67230,English
funNLP,67209,Vietnamese
swift,67193,English
awesome-for-beginners,67111,English
ui,67037,English
vite,66841,English
whisper,66513,English
nest,66454,README.md ausente
cs-video-courses,66320,English
v2rayN,66163,English
HowToCook,66110,English
redis,66065,English
devops-exercises,65588,English
protobuf,65009,English
playwright,64964,English
awesome-machine-learning,64876,English
express,64656,README.md ausente
webpack,64429,English
Chart.js,64243,English
awesome-react,64077,English
llama.cpp,64029,English
grafana,63451,English
hoppscotch,63426,English
gpt_academic,63424,English
fzf,63348,English
syncthing,63280,English
interviews,63176,English
33-js-concepts,62936,English
sway,62847,English
strapi,62473,English
system-design-101,62374,English
ansible,62170,English
javascript-questions,61985,English
the-algorithm,61952,English
cpython,61902,README.md ausente
resume.github.com,61793,README.md ausente
manim,61534,English
keras,61493,English
superset,61353,English
Ventoy,61294,English
generative-ai-for-beginners,61174,English
socket.io,60794,English
redux,60751,English
d2l-zh,60733,English
Best-websites-a-programmer-should-visit,60632,English
tesseract,60508,English
nocode,60273,English
atom,60106,English
echarts,59998,English
awesome-public-datasets,59815,README.md ausente
gpt4free,59754,English
markdown-here,59610,English
architect-awesome,59608,Vietnamese
lodash,59527,English
Front-end-Developer-Interview-Questions,59443,English
PayloadsAllTheThings,59375,English
scikit-learn,59248,README.md ausente
jquery,59117,English
imgui,59025,README.md ausente
angular.js,58874,English
obs-studio,58417,README.md ausente
openai-cookbook,58241,English
shadowsocks-windows,58230,English
awesome-cpp,58224,English
fuel-core,58215,English
Java,58115,English
design-resources-for-developers,57963,README.md ausente
tabby,57931,English
awesome-scalability,57783,English
awesome-nodejs,57593,README.md ausente
Apollo-11,57385,English
caddy,56507,English
SecLists,56498,English
html5-boilerplate,56359,English
awesome-courses,56176,English
spring-framework,56036,English
screenshot-to-code,55744,English
rails,55496,English
alacritty,55322,English
llama,55219,English
gatsby,55195,English
docusaurus,55036,English
cs-self-learning,54972,Chinese (China)
uptime-kuma,54880,English
prometheus,54493,English
leetcode,54332,English
DeepLearning-500-questions,54096,Chinese (China)
element,54080,English
new-pac,53947,English
nuxt,53817,English
sherlock,53596,README.md ausente
localstack,53509,English
act,53447,English
nerd-fonts,53442,README.md ausente
private-gpt,53365,English
annotated_deep_learning_paper_implementations,53158,README.md ausente
awesome-flutter,52746,English
react-router,52692,English
face_recognition,52691,English
normalize.css,52279,English
rustlings,52239,English
scrapy,52163,README.md ausente
ChatGPT,52038,English
awesome-chatgpt-prompts-zh,51937,Chinese (China)
Real-Time-Voice-Cloning,51933,English
requests,51908,English
gpt-engineer,51708,English
open-interpreter,51708,English
git,51584,English
AppFlowy,51425,English
Semantic-UI,51098,English
ionic-framework,50837,English
material-design-icons,50336,English
faceswap,50199,English
tldr,50163,English
ghidra,50148,English
awesome-android-ui,50093,English
leetcode-master,50019,Norwegian
guava,49921,English
you-get,49838,English
lazygit,49793,English
traefik,49793,English
anime,49468,English
grok-1,49375,English
yolov5,49320,English
drawio-desktop,49275,English
bulma,49083,English
openpilot,49062,English
prettier,48961,English
jekyll,48840,README.md ausente
rich,48698,English
kotlin,48677,README.md ausente
bat,48438,English
pi-hole,48267,English
ComfyUI,48169,English
mkcert,48129,English
DefinitelyTyped,48084,English
project-layout,48043,English
moment,47935,English
RxJava,47820,English
chinese-poetry,47718,English
pdf.js,47710,English
hacker-scripts,47447,English
Prompt-Engineering-Guide,47233,English
github-cheat-sheet,47218,English
ripgrep,47185,English
etcd,47151,English
go-ethereum,47063,English
awesome-ios,46787,English
Ghost,46662,English
Magisk,46650,README.md ausente
mastodon,46603,English
cypress,46589,English
dayjs,46530,English
algorithm-visualizer,46528,English
core,46348,English
segment-anything,46342,English
serverless,46342,English
minio,46283,English
marktext,46148,English
professional-programming,46147,English
trackerslist,46126,English
big-list-of-naughty-strings,46102,English
meilisearch,46055,English
rclone,45777,English
zustand,45727,README.md ausente
okhttp,45647,English
uBlock,45542,English
learn-regex,45477,English
awesome-rust,45458,English
julia,45338,English
awesome-wechat-weapp,45288,English
zed,45241,English
powerlevel10k,45201,English
v2ray-core,45194,English
astro,45127,English
dive,45119,English
Projects,44859,English
react,44828,English
joplin,44828,English
gogs,44715,English
Motrix,44710,English
FFmpeg,44549,English
nocodb,44495,English
PowerShell,44460,English
hackingtool,44412,English
design-patterns-for-humans,44386,README.md ausente
100-Days-Of-ML-Code,44369,English
weekly,44326,Catalan
fuels-rs,44303,English
fuels-ts,44300,English
meteor,44251,English
architecture-samples,44241,English
n8n,44228,English
first-contributions,44210,English
x64dbg,44182,English
hiring-without-whiteboards,44153,English
jest,44001,English
starship,43908,English
AdminLTE,43847,English
gitea,43825,English
pixijs,43376,English
parcel,43354,French
TensorFlow-Examples,43338,English
MetaGPT,43254,English
appwrite,43227,English
build-web-application-with-golang,43172,English
hyper,43145,English
babel,43132,English
pandas,43069,English
retrofit,42921,English
quill,42871,English
immich,42843,English
dify,42830,English
zx,42737,English
huginn,42638,English
PythonDataScienceHandbook,42578,English
ImHex,42469,English
30-Days-Of-JavaScript,42366,README.md ausente
CppCoreGuidelines,42333,English
type-challenges,42158,English
PaddleOCR,42050,English
terraform,42011,English
frontend-dev-bookmarks,42010,English
json,41992,English
open-source-ios-apps,41844,English
awesome-react-components,41768,English
git-flight-rules,41702,English
discourse,41562,English
grpc,41459,English
query,41441,English
yarn,41399,English
react-use,41383,English
alist,41338,English
pm2,41243,English
front-end-interview-handbook,41224,English
awesome-java,41137,English
Alamofire,40923,English
localsend,40916,English
vue2-elm,40902,English
react-hook-form,40887,English
open-source-mac-os-apps,40868,English
Leaflet,40827,English
jadx,40658,English
brew,40601,English
30-Days-Of-Python,40505,README.md ausente
edex-ui,40463,English
drawio,40370,English
styled-components,40353,English
Docker-OSX,40324,English
dubbo,40319,English
kubernetes-the-hard-way,40300,English
ChatGLM-6B,40296,English
nw.js,40270,English
python-patterns,40086,English
Rocket.Chat,39843,English
JeecgBoot,39827,Chinese (China)
uni-app,39825,Chinese (China)
what-happens-when,39735,README.md ausente
monaco-editor,39612,English
Fooocus,39588,README.md ausente
vuetify,39584,English
swiper,39442,English
awesome-cheatsheets,39184,English
spark,39178,English
text-generation-webui,39160,English
hexo,39085,English
Stirling-PDF,39053,English
lx-music-desktop,39009,Vietnamese
dbeaver,38992,English
fastlane,38978,English
ailearning,38963,Vietnamese
materialize,38863,English
reactjs-interview-questions,38698,English
kong,38687,English
awesome-design-patterns,38678,English
prisma,38625,English
CPlusPlusThings,38595,English
ColossalAI,38517,English
pyenv,38380,English
sentry,38373,English
black,38271,English
acme.sh,38258,English
pocketbase,38251,English
stablediffusion,38152,English
AFFiNE,38112,English
cheat.sh,38033,English
fanqiang,37938,English
Deep-Learning-Papers-Reading-Roadmap,37874,English
esbuild,37842,English
metabase,37840,English
php-src,37790,English
video.js,37730,English
bert,37714,English
tabler,37660,English
impress.js,37612,English
iina,37520,English
MPAndroidChart,37506,English
wrk,37430,English
lobe-chat,37421,English
cobra,37341,English
chakra-ui,37341,English
styleguide,37154,English
odoo,36996,English
Made-With-ML,36975,English
freecodecamp.cn,36942,English
Open-Assistant,36925,English
chinese-independent-developer,36892,English
phaser,36857,English
zju-icicles,36832,Chinese (China)
htmx,36824,English
tidb,36800,English
open-webui,36736,English
diagrams,36710,English
free,36688,English
nvm-windows,36649,English
